instance,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,y
1375,4,3,0,1,2,0,1,21,2,2,6,1,170,727222,28,0,0,126,-0.255758515,3.64,10.22,10.34,
1376,1,3,2,3,3,4,1,None,1,1,7,3,97,657262,28,0,0,126,3.413096887,5.04,7.69,7.18,
1377,0,0,0,8,2,1,1,15,1,3,5,1,207,768625,41,0,0,126,2.843950431,5.62,9.57,7.36,
1378,0,1,0,3,2,0,1,0,0,1,5,4,163,233342,31,22927,0,141,2.363087823,5.28,9.09,6.84,
1379,0,2,2,2,3,0,1,0,0,4,3,6,79,1118460,22,0,0,311,0.740116797,4.61,10.05,9.73,
1380,0,3,2,1,3,0,1,20,2,3,8,1,66,947800,28,0,0,110,1.915007444,5.37,10.11,12.1,
1381,0,3,0,3,2,0,1,0,3,4,9,7,170,543376,28,0,0,126,2.736614009,6.29,6.68,7.76,
1382,0,1,0,4,2,0,1,0,2,3,0,7,163,662047,31,9748,0,173,2.478642216,6.53,10.4,6.91,
1383,0,3,0,6,2,0,1,0,1,4,1,5,110,352100,28,15749,0,126,1.918679957,3.67,8.01,7.85,
1384,5,4,0,5,0,0,0,0,2,1,1,0,116,241171,47,0,0,123,2.022241685,5.2,10.38,5.13,
1385,0,2,2,8,1,0,1,0,3,0,0,5,53,505696,22,0,0,50,1.866363523,3.48,13.48,5.79,
1386,0,3,0,3,2,0,1,None,3,1,4,6,198,569109,28,0,0,157,2.739193539,4.86,14,9.04,
1387,0,12,0,4,0,0,0,0,3,1,2,3,101,979435,19,0,0,110,-0.278015715,5.82,9.49,6.79,
1388,1,0,0,4,2,0,1,0,3,2,7,2,123,384383,41,0,0,126,0.647560847,6.44,9.52,6.35,
1389,0,3,1,4,5,0,0,0,0,2,1,0,123,924203,28,0,0,126,1.126647394,6.79,8.2,9.46,
1390,0,7,3,6,4,0,1,36,0,4,0,7,79,983212,16,0,0,126,3.40305845,3.46,8.66,8.01,
1391,4,10,1,5,5,0,0,0,0,4,7,7,123,559518,44,0,0,126,2.240226485,5.22,9.62,7.02,
1392,0,9,0,11,0,3,0,24,3,2,9,7,82,122566,25,0,0,126,2.705225714,4.94,11.61,7.54,
1393,0,3,2,3,1,0,0,0,2,1,6,4,97,2046421,28,0,5008,94,2.470586227,5.73,9.69,9.29,
1394,1,10,2,4,3,0,1,0,3,3,0,2,116,1062864,44,0,0,188,0.068115627,3.67,10.15,6.86,
1395,0,3,0,6,2,4,1,0,2,2,6,3,126,344947,28,0,0,126,1.949064303,4.52,10.97,8.87,
1396,2,3,1,1,3,0,1,0,2,1,3,3,119,330005,28,0,0,126,2.773007945,4.47,7.75,7.06,
1397,0,0,2,4,3,0,0,0,0,0,0,5,75,580428,41,0,0,126,1.280833808,5.89,8.32,7.35,
1398,0,3,2,2,4,1,0,None,3,3,8,0,135,457994,28,0,0,126,3.354761855,4.82,12.41,7.63,
1399,0,8,4,11,5,0,0,0,3,0,2,5,173,291687,13,0,0,94,1.1722982,5.38,8.15,7.5,
1400,0,3,2,10,1,4,1,0,1,2,7,2,66,1246553,28,0,0,63,1.155576937,4.09,9.59,6.76,
1401,0,0,0,4,2,0,1,0,2,0,9,5,91,612422,41,0,0,126,2.453398897,5.57,12.6,7.59,
1402,5,10,0,5,2,0,1,0,2,4,6,0,126,213232,44,0,0,182,4.352017325,4.04,13.12,6.61,
1403,0,1,0,3,2,0,1,0,1,1,1,7,160,301788,31,0,6211,126,2.955812247,4.16,11.65,9.31,
1404,0,2,2,1,3,0,1,0,2,4,0,2,97,1427879,22,0,6286,126,2.783148336,6.31,9.24,5.74,
1405,0,1,2,3,1,0,0,0,0,0,0,4,72,617882,31,0,0,63,0.95768905,5.16,8.19,9.65,
1406,0,0,0,3,2,0,1,0,3,1,1,2,88,651921,41,22927,0,132,0.757671865,6.57,6.78,9.61,
1407,0,2,0,1,2,0,1,0,1,3,8,0,116,679052,22,0,0,141,1.652862315,6.32,10.08,10.19,
1408,1,3,0,2,2,0,1,0,1,3,4,1,129,1081741,28,0,0,31,2.072681351,4.88,10.02,5.76,
1409,0,9,2,8,1,0,1,0,1,3,2,5,60,796485,25,0,0,28,1.86633136,5.86,9.15,8.58,
1410,0,3,1,8,5,0,0,0,2,3,6,5,148,305287,28,0,0,126,1.910912998,5.2,8.47,6.91,
1411,0,1,2,2,3,0,1,0,2,2,0,3,88,250932,31,0,0,116,2.775840943,4.59,12.08,6.93,
1412,0,3,0,6,2,0,1,0,0,2,9,4,79,1142619,28,0,0,126,0.735079473,3.32,7.83,8.13,
1413,0,3,0,6,2,4,1,0,3,2,3,3,110,548431,28,0,0,126,3.30475728,4.92,9.71,9.2,
1414,0,3,0,1,2,0,1,0,1,1,1,1,97,319692,28,0,0,160,2.134552217,4.5,13.32,10.1,
1415,0,0,0,4,2,0,1,0,1,4,9,7,104,537891,41,0,0,157,1.307957221,4.94,9.24,6.93,
1416,None,1,0,None,2,0,1,0,2,4,6,2,195,594069,31,0,0,47,3.545325341,6.2,10.01,6.96,
1417,0,1,1,8,5,0,0,0,2,0,5,5,141,1069213,31,0,0,126,0.702322243,5.37,10.97,4.45,
1418,0,1,2,8,3,0,1,0,3,4,8,2,63,134165,31,0,0,79,1.563713825,3.67,11.41,10.04,
1419,0,1,2,3,3,0,0,0,1,1,9,1,94,970162,31,0,0,188,1.98786496,4.52,10.15,7.9,
1420,0,0,0,4,2,0,1,0,3,2,9,2,132,545468,41,0,0,126,0.886271864,5.96,13.01,8.18,
1421,0,3,2,7,3,0,1,0,0,3,0,5,63,1377026,28,0,0,157,3.373417207,4.95,6.92,6.82,
1422,0,2,2,6,4,4,0,0,0,3,1,0,129,489011,22,0,0,126,1.640572341,5.43,8.97,7.3,
1423,None,3,0,None,2,0,1,0,1,1,3,3,214,590940,28,0,0,25,3.316451351,4.45,6.3,7.19,
1424,0,5,2,8,5,2,0,0,1,3,2,5,94,82473,38,0,0,126,1.893220266,6.48,11.45,5.93,
1425,0,6,2,8,3,4,0,0,3,1,4,2,110,690843,35,0,0,126,0.768653767,6.46,8.37,7.68,
1426,0,3,1,8,5,4,0,0,2,1,2,3,107,862609,28,0,0,126,3.10021485,3.94,9.81,5.37,
1427,0,3,5,1,3,0,1,17,0,1,8,4,129,468418,28,0,0,126,0.056176028,4.18,8.62,6.21,
1428,1,13,0,5,2,0,1,0,1,2,1,7,138,299387,50,0,0,220,1.313652455,5.46,9.03,6.22,
1429,None,3,0,None,2,0,1,0,1,4,2,2,188,480890,28,0,0,16,1.724422458,5.31,6.66,6.7,
1430,0,3,0,1,2,0,1,0,3,3,4,2,163,814813,28,0,0,157,2.37295094,5.79,13.75,9.97,
1431,0,13,0,5,2,1,1,None,2,4,0,2,116,592429,50,0,0,126,3.080921136,4.31,11.29,8.96,
1432,2,1,0,1,2,0,1,0,1,0,3,5,138,179803,31,0,0,126,1.526256637,4.29,9.99,10.37,
1433,0,0,1,8,5,0,0,0,1,2,7,5,113,238214,41,0,0,126,1.110011942,4.05,10.99,6.93,
1434,0,3,0,4,2,0,1,0,1,3,5,5,182,1099275,28,24153,0,126,2.862558734,4.51,11.21,7.97,
1435,0,3,0,12,0,0,0,0,2,1,1,4,123,314260,28,0,0,47,2.039054885,4.12,9.83,6.82,
1436,None,0,0,None,2,0,1,0,1,2,3,5,226,556442,41,0,0,9,3.210964992,4.67,7.05,7.52,
1437,1,3,2,1,3,0,1,0,2,1,2,6,113,472404,28,0,0,126,0.890178595,2.76,11.78,7.51,
1438,0,1,0,10,2,0,1,0,3,1,5,7,123,204288,31,0,0,135,0.625187804,5.4,7.85,4.99,
1439,0,1,2,10,1,0,1,0,3,2,1,1,75,381116,31,0,0,157,2.314404399,2.94,9.48,6.69,
1440,0,0,2,5,3,0,1,0,3,4,4,5,85,1294179,41,0,0,188,3.454942694,6.01,10.64,9.61,
1441,4,0,0,4,2,0,1,0,3,3,6,5,192,299865,41,16267,0,157,1.336914476,4.92,7.59,8.17,
1442,0,3,2,7,5,4,0,0,0,3,3,4,107,1139729,28,0,0,126,2.171951829,4.27,11.73,8.72,
1443,0,0,1,2,3,0,0,0,0,3,3,0,148,412051,41,314156,0,126,1.07250382,5.87,8.28,5.02,
1444,2,3,0,4,2,0,1,0,0,4,5,5,198,520458,28,0,0,126,1.813667259,4.44,10.95,6.44,
1445,0,4,0,5,2,0,1,0,2,3,7,0,129,110477,47,47199,0,157,1.797598499,4.95,9.67,5.35,
1446,0,5,5,7,5,0,1,0,0,1,5,2,104,1915709,38,0,0,126,2.355470273,5.32,15.19,5,
1447,0,3,0,1,2,0,1,0,2,0,7,2,104,730342,28,0,0,126,2.909007469,5.05,14.53,9.29,
1448,0,1,2,0,3,4,0,0,3,2,3,0,79,623879,31,6830,0,157,5.853366515,6,8.44,8.44,
1449,1,14,0,10,2,0,1,12,1,4,5,1,207,768902,9,0,0,157,3.225067982,4.91,9.54,7.09,
1450,1,1,1,3,3,0,0,0,1,3,0,0,157,294383,31,0,0,126,3.801696205,4.17,9.92,6.73,
1451,4,1,0,5,2,0,1,0,3,4,4,1,82,664437,31,0,0,126,2.430456895,4.15,13.88,6.18,
1452,0,2,2,8,3,0,1,0,1,1,6,4,57,725315,22,0,0,126,2.918052651,5.05,6.94,4.43,
1453,0,6,2,7,3,0,1,0,3,2,5,1,123,383375,35,0,0,126,2.652687885,4.34,9.49,7.89,
1454,0,8,0,7,2,0,1,20,0,1,5,5,182,1279062,13,9224,0,157,2.183181647,6.75,8.07,8.22,
1455,0,8,0,1,2,3,1,0,3,2,4,5,116,843826,13,0,0,126,0.139585708,4.15,11.32,7.72,
1456,0,0,0,5,2,4,1,0,3,2,8,1,148,483438,41,24153,0,141,0.321917779,5.39,12.09,10.8,
1457,4,3,1,10,5,0,1,0,2,1,7,5,201,517973,28,0,0,63,1.295241409,4.87,13.05,11.13,
1458,0,3,4,5,3,0,0,0,1,4,6,2,223,436779,28,0,0,126,3.082358153,6.55,5.26,8.11,
1459,None,4,0,None,0,0,0,None,1,3,2,2,217,627034,47,0,0,79,3.006659291,4.54,10.68,8.92,
1460,0,10,0,4,2,0,1,0,1,0,8,4,119,837690,44,0,0,188,2.078397274,6.21,10.95,6.29,
1461,0,3,0,1,2,0,1,0,1,2,9,5,160,395872,28,0,0,126,3.650322767,4.81,9.88,9.92,
1462,0,3,2,2,3,0,0,0,2,2,3,2,66,622192,28,0,0,88,1.089336031,5.03,4.45,10.47,
1463,0,3,1,0,5,0,0,0,2,0,2,0,107,316465,28,0,0,126,1.180081545,3.86,10.22,5.77,
1464,0,3,0,6,1,0,1,0,2,3,4,4,75,743602,28,0,0,110,2.855348294,4.5,9.71,9.38,
1465,0,1,2,2,1,0,1,0,3,4,9,0,72,728429,31,0,0,126,-0.072743132,5.12,5.23,8.88,
1466,0,11,0,8,2,0,1,21,3,4,8,6,132,211250,6,0,0,173,2.339395626,4.04,10.34,8.56,
1467,0,1,2,3,3,4,0,0,0,1,8,3,126,1377359,31,0,0,126,2.31092083,5.46,7.58,9.55,
1468,None,2,1,None,5,4,0,0,2,3,0,3,119,543040,22,0,0,63,3.192617624,6.43,10.65,10.19,
1469,0,3,2,1,3,0,0,0,0,1,4,6,79,735312,28,0,0,126,2.440326611,4.58,8.73,3.48,
1470,0,1,0,10,2,0,1,0,1,3,3,6,101,884160,31,0,0,173,1.865288822,3.8,11.03,10.9,
1471,0,9,2,2,1,0,0,0,1,0,5,4,57,281989,25,0,0,63,0.673385655,4.55,8.42,8.57,
1472,None,3,4,None,3,0,0,0,2,3,9,3,201,628372,28,0,0,63,0.549289381,6.67,8.04,8.02,
1473,0,0,0,2,2,0,1,0,0,2,2,7,91,721715,41,0,0,126,1.606943811,3.63,6.3,7.63,
1474,0,4,2,5,3,0,0,0,3,0,3,0,88,668028,47,0,0,267,2.613915001,4.9,12.89,10.15,
1475,2,3,0,3,2,0,1,0,2,0,8,3,214,442500,28,0,0,126,1.633837671,5.4,10.79,5.24,
1476,0,1,0,7,2,0,1,0,2,0,6,2,123,567582,31,0,0,126,3.085882922,5.51,9.38,8.98,
1477,0,10,2,5,1,0,1,0,3,0,8,4,113,542044,44,0,0,126,0.89450208,4.6,6.59,8.33,
1478,0,3,0,1,2,0,1,0,2,4,4,2,82,607282,28,0,0,126,0.663338948,4.65,12.81,8,
1479,0,3,0,2,2,0,1,0,2,3,8,1,110,947548,28,0,0,188,2.217689974,6.78,6.66,8.25,
1480,0,3,1,10,3,0,1,0,3,2,5,5,138,93500,28,0,0,214,0.799171755,4.29,6.9,8.07,
1481,0,0,0,2,2,0,1,36,0,4,9,4,148,2088597,41,0,0,126,3.337293511,4.91,8.02,6.8,
1482,0,0,4,4,5,0,0,0,3,4,6,0,145,704703,41,0,0,63,2.01172722,5.05,11.49,7.03,
1483,5,10,1,5,3,0,1,0,0,2,8,0,151,534517,44,0,0,126,1.914389678,3.7,9.42,7.11,
1484,0,3,0,8,0,0,0,0,3,2,4,3,57,1269470,28,0,0,126,4.03522995,5.38,8.79,10.21,
1485,0,10,0,5,2,0,1,0,3,4,4,0,138,335836,44,0,0,138,1.045092109,4.76,9.24,6.77,
1486,5,10,0,8,2,0,1,0,1,1,7,1,138,523380,44,0,0,126,1.179287958,4.33,8.69,8.8,
1487,0,10,0,5,0,0,0,0,0,3,1,5,154,319893,44,0,6211,126,0.938610246,5.25,11.92,6.37,
1488,0,0,2,8,1,4,0,0,2,2,1,6,85,1180306,41,0,0,126,3.230160147,5.03,9.51,8.11,
1489,None,3,1,None,3,0,1,0,3,1,1,0,173,283654,28,0,0,126,3.050141757,5.36,8.69,9.08,
1490,1,4,1,5,5,0,1,0,2,4,8,7,132,92111,47,0,0,188,2.970752084,2.3,8.53,8.48,
1491,0,1,2,3,4,0,0,0,0,0,3,4,63,234460,31,0,0,126,2.181265209,4.69,11.63,7.76,
1492,0,5,2,5,3,0,1,None,1,3,4,6,101,790742,38,0,0,126,0.83212867,4.2,13.4,6.16,
1493,0,3,0,1,2,0,1,0,1,4,3,4,116,1267143,28,0,0,126,0.137177358,4.71,7.79,7.8,
1494,2,1,0,7,2,0,1,0,1,4,2,2,63,528306,31,0,0,126,3.85672415,5.39,11.08,6.69,
1495,0,1,2,1,3,0,1,0,3,3,8,0,97,179545,31,0,0,126,1.616077355,3.81,10.82,7.67,
1496,0,3,1,8,3,0,0,0,3,0,9,0,97,1153951,28,0,0,126,1.776874196,4.82,13.16,9.42,
1497,0,10,2,5,3,0,1,0,3,1,0,1,79,584185,44,0,0,94,0.28379303,5.13,12.02,7.79,
1498,0,1,2,6,1,0,1,0,1,4,8,3,57,674239,31,0,0,94,2.325610749,4.46,10.23,7.28,
1499,0,3,2,2,1,4,0,0,3,0,1,5,66,943876,28,0,0,126,2.076059944,4.4,9.66,7.48,
1500,3,0,0,12,2,0,1,0,0,4,4,4,107,1318498,41,22927,0,170,4.002347995,5.07,9.77,8.51,
1501,0,1,0,4,2,0,1,0,1,2,7,0,160,620955,31,0,0,141,1.210244058,3.08,9.59,5.83,
1502,2,1,0,3,2,0,1,0,0,4,1,1,110,1068487,31,0,0,157,2.439978269,5.62,12.24,9.37,
1503,0,11,5,2,3,0,1,None,1,3,8,4,179,441161,6,0,0,110,1.737035635,6.09,8.5,9.91,
1504,0,0,0,7,2,0,1,0,0,3,4,6,195,276633,41,0,0,126,2.388344369,6.08,11.72,6.8,
1505,3,13,0,5,2,1,1,11,2,0,6,7,201,551456,50,0,0,126,2.532151618,4.03,6.6,6.01,
1506,0,6,0,1,2,0,1,0,0,0,4,6,119,100053,35,0,0,126,3.410251872,4.21,12.38,8.14,
1507,4,0,0,5,0,0,0,0,2,2,2,3,94,569797,41,0,0,104,2.507938911,3.97,8.88,10.29,
1508,0,3,1,7,3,0,0,0,2,1,3,5,116,377132,28,0,0,176,1.240908098,6.09,10.72,9.52,
1509,2,1,0,1,2,0,1,0,1,1,2,1,141,619937,31,0,0,173,1.188460195,5.14,9.66,6.54,
1510,5,1,0,12,2,4,1,0,2,4,0,4,132,430386,31,0,0,151,0.743234324,4.43,7.1,10.03,
1511,0,1,0,4,2,0,1,0,1,3,1,3,192,449210,31,47199,0,141,3.089206939,5.33,9.8,7.79,
1512,0,12,2,2,1,0,1,0,2,2,3,6,57,348776,19,0,0,75,2.471963138,5.32,8.41,7.15,
1513,1,3,0,1,4,0,1,22,2,0,8,7,110,353420,28,0,0,110,1.892819897,7.59,11.06,5.67,
1514,0,3,2,8,1,0,1,0,1,1,8,4,63,541083,28,0,0,151,2.36280623,4.76,8.42,11.02,
1515,1,3,0,9,2,1,1,1,3,3,3,7,132,952041,28,0,0,126,2.430241409,5.2,7.1,7.52,
1516,0,1,0,5,2,0,1,0,0,3,2,6,192,572282,31,0,5975,126,2.361527773,6.77,8.62,8.12,
1517,0,1,2,10,1,0,1,0,2,2,7,3,63,576778,31,0,0,126,2.234509912,5.16,8.19,5.89,
1518,0,4,0,5,2,0,1,0,3,1,1,1,101,229233,47,0,0,79,1.298949109,5.04,9.56,5,
1519,0,7,0,2,2,0,1,0,2,1,1,2,195,266269,16,0,0,110,1.238694743,1.88,8.32,8.02,
1520,0,7,0,2,2,0,1,0,0,3,7,5,154,363209,16,0,0,126,1.391348931,4.74,9.28,9.45,
1521,0,5,1,5,5,0,0,0,2,3,5,0,126,517351,38,0,0,101,0.441600881,3.71,8.27,7.72,
1522,2,0,0,1,2,0,1,0,2,3,4,3,119,442506,41,0,0,157,1.514835832,4.97,8.11,5.46,
1523,3,1,0,8,2,0,1,0,2,2,8,1,192,429729,31,0,0,126,1.336795054,4.81,11.09,5.8,
1524,0,3,0,9,2,0,1,0,2,0,5,2,154,1123245,28,0,0,79,3.427528714,5.65,10.88,8.29,
1525,0,1,1,8,5,0,0,0,1,3,0,5,138,94644,31,0,0,126,1.519712786,5.9,11.25,6.07,
1526,0,3,0,10,2,0,1,0,2,2,9,7,129,258116,28,0,0,126,0.62107713,5.12,11.13,10.51,
1527,0,1,2,6,3,0,1,0,1,3,3,5,72,509824,31,0,0,79,3.100627231,6.25,14.25,7.65,
1528,0,1,1,2,3,0,1,0,1,1,4,6,116,927169,31,0,0,148,2.510485982,3.34,11.68,9.69,
1529,0,3,0,3,0,0,0,0,1,2,5,7,101,1216645,28,0,0,126,0.779725072,3.94,10.32,10.37,
1530,0,3,1,11,5,4,0,0,1,4,8,7,107,911012,28,0,0,94,2.535296564,5.31,14.38,8.01,
1531,0,0,0,5,0,0,0,0,1,0,1,7,88,705709,41,0,0,141,1.310912318,4.79,10.08,9.49,
1532,0,1,1,7,3,0,0,0,1,1,1,0,145,649389,31,0,0,126,1.474746342,4.89,9.87,7.12,
1533,0,1,1,3,5,1,0,0,1,3,5,0,123,259144,31,0,0,119,2.554852633,5.35,6.17,8.49,
1534,0,3,0,7,2,0,1,0,2,0,1,3,110,355477,28,0,0,126,2.145543298,3.42,6.66,6.41,
1535,0,6,1,3,3,0,1,0,1,2,1,7,101,568223,35,0,0,157,2.352685308,3.87,11.82,8.85,
1536,0,9,2,1,1,0,1,29,3,4,0,7,53,365264,25,0,0,47,2.349266215,5.89,14.51,8.78,
1537,0,4,0,5,2,0,1,0,2,2,0,3,195,509708,47,0,5115,220,1.385532345,4.64,7.52,6.98,
1538,0,3,0,3,2,0,1,0,1,2,2,0,132,534055,28,0,0,151,2.794306959,4.26,9.04,9.17,
1539,0,0,2,5,3,0,1,0,0,4,3,0,82,516754,41,42569,0,157,2.530388456,6.77,9.65,6.42,
1540,0,1,0,1,2,0,1,0,2,2,6,1,167,379627,31,0,0,126,-0.018571875,4.38,10.2,6.05,
1541,0,10,1,3,3,0,1,0,0,1,2,2,204,670658,44,0,0,88,2.108643873,4.23,8.64,8.54,
1542,0,8,4,1,5,0,1,0,2,2,2,2,132,688914,13,0,0,126,2.888252684,2.71,11.2,6.32,
1543,0,3,0,1,2,0,1,0,0,3,4,1,88,562945,28,0,0,110,1.596468482,3.81,8.4,6.71,
1544,3,3,0,4,2,0,1,0,0,0,7,3,157,531174,28,13779,0,126,2.076830628,5.29,9.56,9.3,
1545,0,6,1,8,5,0,0,0,0,3,7,3,79,573831,35,0,0,126,2.760303964,6.67,15.13,8.85,
1546,3,3,4,4,3,0,0,0,1,3,7,0,154,111231,28,0,0,63,3.229244263,2.97,5.56,9.3,
1547,0,1,2,8,3,0,0,0,0,3,4,6,135,625777,31,0,0,157,2.3996376,4.99,10.51,8.51,
1548,4,10,2,5,3,0,0,0,3,4,1,0,104,294006,44,0,0,126,1.755548584,5.83,8.19,6.14,
1549,4,3,2,8,1,0,1,0,1,0,2,3,66,582071,28,0,0,63,0.665937739,5.55,8.73,5.45,
1550,0,5,2,5,1,0,0,0,1,4,1,7,69,371682,38,0,0,50,0.889528637,4.97,8.67,9.1,
1551,0,5,2,5,1,0,1,0,2,4,8,7,75,591480,38,0,0,126,3.424442205,5.72,9.02,6.96,
1552,0,1,0,4,2,0,1,0,3,4,4,5,192,1695087,31,0,0,141,2.25934742,3.73,12.16,9.09,
1553,0,3,0,10,2,0,1,0,1,0,5,3,192,729817,28,0,0,141,2.254178251,4.6,12.02,9.7,
1554,0,3,0,10,2,0,1,0,0,3,0,4,97,661500,28,0,0,204,2.331544113,6.32,9.61,7.11,
1555,0,3,2,4,4,0,1,0,2,3,4,6,79,391411,28,0,0,126,4.768054985,4.43,10.64,8.37,
1556,0,1,2,8,3,0,0,0,2,4,6,5,148,624451,31,0,0,126,1.78555046,3.93,9.69,7.57,
1557,3,12,0,8,2,0,1,0,2,0,1,1,223,319425,19,0,0,126,-0.273210441,5.9,11.42,7.16,
1558,0,8,0,1,2,0,1,0,0,0,6,6,223,1676542,13,0,0,126,1.090399484,5.49,11.71,7.84,
1559,0,3,0,4,2,0,1,0,1,4,2,7,179,401430,28,0,0,126,0.571108726,6.42,10.75,5.2,
1560,0,10,0,4,2,0,1,0,0,3,2,4,132,639484,44,0,0,188,1.637852634,4.83,8.82,9.72,
1561,4,1,2,12,3,0,1,0,0,2,4,1,75,618316,31,0,0,157,-0.006238469,5.34,11.51,9.95,
1562,0,7,2,6,1,4,1,0,1,0,2,2,79,329845,16,9133,0,126,2.037547975,6.75,12.66,7.75,
1563,0,3,3,8,5,0,0,0,2,0,5,5,113,369225,28,0,0,119,1.196780954,4.26,9.99,6.16,
1564,0,1,1,1,3,0,1,0,0,2,6,6,160,136201,31,0,0,132,1.916828656,5.25,6.66,7.51,
1565,0,0,0,3,2,0,1,0,0,3,6,5,132,668826,41,0,0,220,3.406828928,4.04,12.57,10.25,
1566,0,3,0,4,2,0,1,0,2,3,3,2,126,587993,28,0,5253,141,1.805231642,3.75,12.81,7.58,
1567,0,3,0,7,2,0,1,0,1,3,2,6,185,222604,28,0,0,126,2.008828431,4.55,10.94,8.9,
1568,1,1,1,4,3,0,1,0,2,3,1,3,145,771965,31,0,0,157,2.486907863,5.36,11.99,9.41,
1569,0,1,2,4,3,0,1,0,3,4,8,1,85,158072,31,0,0,126,3.891805281,4.77,11.44,7.06,
1570,0,12,0,10,2,0,1,0,2,1,9,4,123,389840,19,0,0,126,0.790667208,4.03,8.28,7.51,
1571,0,2,0,1,2,0,1,0,0,3,9,5,145,350005,22,0,0,126,2.122368928,4.27,9.18,6.31,
1572,4,1,3,2,1,4,0,0,3,1,6,2,104,1184717,31,0,0,110,2.15897009,4.4,9.77,8.1,
1573,0,1,2,7,3,0,1,0,3,4,2,2,110,462625,31,0,6202,126,3.400271104,5.51,7.49,7.46,
1574,0,3,2,2,3,0,0,0,1,1,9,5,69,324966,28,0,0,75,0.658399104,3.19,9.34,8.15,
1575,4,1,0,12,2,4,1,0,3,3,2,3,72,637988,31,0,0,126,1.433243226,5.36,8.58,7.23,
1576,4,2,0,10,2,0,1,0,2,1,8,0,204,754504,22,0,0,110,1.401715287,3.03,10.15,8.76,
1577,0,0,0,5,2,0,1,0,2,2,9,1,79,604043,41,0,0,126,0.978003407,4.61,10.05,9.08,
1578,0,0,1,8,3,0,1,0,1,3,1,0,154,579398,41,0,0,126,4.070024757,5.19,8.58,7.52,
1579,0,2,2,8,1,0,0,0,2,1,2,5,57,1033754,22,0,0,47,0.485218806,6.54,10.89,7.27,
1580,0,1,2,0,1,0,1,0,0,3,7,1,72,522670,31,0,0,188,3.238551457,6.17,7.58,11.43,
1581,0,3,0,8,2,0,1,0,1,4,0,5,170,257168,28,0,0,126,3.163179582,4.26,7.87,12.23,
1582,5,1,0,4,2,0,1,0,3,1,4,4,160,259194,31,0,0,126,0.903372643,3.63,9.31,10.83,
1583,1,6,0,5,2,0,1,0,3,0,6,0,94,527756,35,47199,0,204,1.83857374,4.27,10.39,8.93,
1584,0,6,0,8,0,0,0,0,1,0,6,6,66,109378,35,0,0,38,2.618238411,4.71,11.47,8.41,
1585,None,7,0,None,2,0,1,0,3,2,1,5,179,598517,16,0,0,126,2.886224908,6.1,10.06,7.38,
1586,0,1,1,0,3,0,1,0,0,4,4,4,82,1214493,31,0,0,188,2.649055547,2.86,8.18,6.28,
1587,0,1,4,8,5,0,0,0,1,4,3,5,198,344058,31,0,0,135,0.188000352,5.38,12.95,8.61,
1588,0,1,0,10,2,0,1,0,0,3,2,0,141,563690,31,0,0,173,3.186021621,6.09,8.48,7.9,
1589,0,1,0,3,2,0,1,0,1,1,8,6,160,558164,31,0,0,188,2.862529677,6.16,11.14,7.44,
1590,None,3,2,None,3,0,1,0,3,0,8,3,91,654727,28,0,0,110,3.007026416,5.29,10.27,5.82,
1591,0,1,2,2,1,0,0,0,1,3,8,2,63,132823,31,0,0,94,1.574463015,5.54,6.1,5.13,
1592,3,3,2,1,1,0,1,0,1,3,0,3,104,624633,28,0,0,126,3.464823584,5.04,8,9.33,
1593,0,6,0,5,2,0,1,0,0,4,7,5,91,533075,35,0,0,126,2.161093733,4.51,10.16,8.36,
1594,5,0,0,12,2,0,1,0,3,1,3,4,79,825183,41,0,0,126,2.579221648,3.98,13.59,10.29,
1595,5,3,0,12,2,0,1,0,1,1,2,6,72,877268,28,0,0,119,1.288727915,4.66,11.34,5.91,
1596,0,7,1,1,3,0,0,0,1,1,5,1,176,289702,16,0,0,126,3.155383692,6.52,7.76,8.48,
1597,0,1,1,4,5,0,0,0,3,4,1,0,123,954029,31,0,0,47,2.153878072,5.09,10.75,5.96,
1598,0,1,2,4,3,0,0,0,3,3,1,0,116,350284,31,0,0,126,1.429722585,4.26,9.19,7.61,
1599,0,1,4,4,5,4,0,0,3,1,1,2,151,395630,31,0,5243,119,2.101198165,5.55,7.96,10.97,
1600,0,0,0,4,2,0,1,0,2,4,1,1,154,556725,41,0,0,157,3.847887518,5.69,7.34,7.2,
1601,0,14,5,1,4,0,1,36,2,1,7,4,101,710839,9,0,0,126,0.603938304,4.82,13.45,7.41,
1602,0,3,0,3,2,0,1,0,3,3,1,3,72,571129,28,0,0,157,2.659969129,3.95,6.56,11.77,
1603,0,3,4,8,3,0,0,0,0,2,1,3,242,389429,28,0,0,101,3.025919621,6.94,8.96,7.53,
1604,0,3,2,1,5,0,0,0,3,0,1,7,110,488866,28,358,0,126,3.686465854,4.88,13.07,7.5,
1605,5,5,1,8,3,0,1,0,3,2,0,6,170,175493,38,0,0,123,1.931096022,4.61,11.19,7.73,
1606,0,3,2,10,3,0,1,0,1,1,7,4,97,639276,28,0,0,157,2.13307372,4,12.25,6.71,
1607,1,3,4,1,3,0,1,0,3,3,6,5,179,230307,28,0,0,173,1.614940877,3.43,11.82,8.56,
1608,1,3,0,1,2,0,1,0,2,3,3,1,173,1326534,28,0,0,157,1.464199206,3.89,11.41,6.1,
1609,1,8,0,1,2,0,1,0,3,1,3,7,204,425739,13,0,0,126,1.346204636,6.57,11.97,12.27,
